Broccoli,1223,£1.34,7
Cabbage,123,£3.5,5
Wine La Vielle Ferme Cote Du,73-105-3282,£6.43,2
Sugar - Splenda Sweetener,14-152-9941,£4.35,10
Pork - Smoked Kassler,09-937-5929,£8.47,3
Tuna - Bluefin,93-754-9325,£2.23,6
Cookie Dough - Peanut Butter,81-523-0497,£4.94,6
Yogurt - Banana 175 Gr,11-107-5335,£4.37,3
Pork - Smoked Back Bacon,86-471-5849,£1.38,4
Wine - Cave Springs Dry Riesling,13-428-4270,£7.62,8
Stainless Steel Cleaner Vision,45-721-2266,£1.68,4
Paprika,1234,£5.23,5
Peppers,1234,£6.5,4
Peppers,1234,£6.5,4
Peppers,1234,£6.5,4
Peppers,1234,£6.5,4
